<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20091102,5.0367,5.0367,4.4971,4.4971,1010
ABI,20091103,4.9288,4.9288,4.9288,4.9288,10
ABI,20091104,4.4611,4.4611,4.4611,4.4611,1100
ABI,20091105,4.0294,4.0294,4.0294,4.0294,500
ABI,20091106,4.4251,4.4251,4.4251,4.4251,1400
ABI,20091109,4.8208,4.8208,4.1373,4.1373,1350
ABI,20091110,3.9574,3.9574,3.8135,3.9574,5940
ABI,20091111,4.2812,4.2812,3.9574,3.9574,810
ABI,20091112,4.3531,4.3531,3.8854,3.8855,2150
ABI,20091113,3.9215,3.9215,3.9215,3.9215,0
ABI,20091116,3.6337,3.6337,3.6336,3.6336,0
ABI,20091117,3.9934,3.9934,3.7775,3.7775,1860
ABI,20091118,3.6696,4.2452,3.5976,4.2452,1510
ABI,20091119,3.5976,3.5977,3.5976,3.5977,800
ABI,20091120,3.5257,3.5977,3.5257,3.5977,1600
ABI,20091123,3.8855,3.8855,3.2379,3.2379,2010
ABI,20091124,3.2739,3.2739,3.2739,3.2739,0
ABI,20091125,3.3099,3.3099,3.3099,3.3099,600
ABI,20091126,3.2379,3.2379,3.2379,3.2379,1500
ABI,20091127,3.2379,3.2379,3.2379,3.2379,0
ABI,20091130,2.9141,2.9141,2.9141,2.9141,20
ABI,20091201,2.6263,2.6263,2.6263,2.6263,10
ABI,20091202,2.8781,2.8781,2.8781,2.8781,3000
ABI,20091203,3.1659,3.1659,3.1659,3.1659,200
ABI,20091204,3.4537,3.4538,3.4537,3.4538,2110
ABI,20091207,3.5977,3.5977,3.5977,3.5977,1000
ABI,20091208,3.5977,3.5977,3.5977,3.5977,0
ABI,20091209,3.9215,3.9575,3.7056,3.7056,2000
ABI,20091210,3.5977,3.5977,3.5257,3.5257,4480
ABI,20091211,3.5257,3.5257,3.5257,3.5257,0
ABI,20091214,3.8495,3.8495,3.8495,3.8495,10
ABI,20091215,3.5977,3.5977,3.5977,3.5977,18900
ABI,20091216,3.9575,3.9575,3.7776,3.8855,150
ABI,20091217,3.8855,3.8855,3.8855,3.8855,0
ABI,20091218,3.5257,4.2453,3.5257,4.2452,120
ABI,20091221,3.8854,3.8854,3.7056,3.7056,460
ABI,20091222,4.1013,4.1013,4.1013,4.1013,10
ABI,20091223,4.4970,4.4971,4.4970,4.4971,840
ABI,20091224,4.9288,4.9288,4.1373,4.1373,2390
ABI,20091225,4.6769,4.6769,4.0294,4.0294,410
ABI,20091228,3.6337,3.6696,3.6337,3.6696,1590
ABI,20091229,3.3098,3.3099,3.3098,3.3099,1920
ABI,20091230,3.6337,3.6337,3.6336,3.6336,10
ABI,20091231,3.5976,3.5977,3.5976,3.5977,1000
ABI,20100104,3.5977,3.5977,3.5977,3.5977,2000
ABI,20100105,3.5617,3.7776,3.5617,3.7775,3070
ABI,20100106,3.2738,3.7415,3.2738,3.5977,3660
ABI,20100107,3.7416,3.7416,3.0940,3.5977,17540
ABI,20100108,3.6337,3.7776,3.5977,3.7775,3020
ABI,20100111,3.7055,3.7056,3.7055,3.7056,0
ABI,20100112,3.5977,3.5977,3.5977,3.5977,500
ABI,20100113,3.9575,3.9575,3.9574,3.9574,10
ABI,20100114,3.9574,3.9574,3.9574,3.9574,0
ABI,20100115,3.7775,3.7775,3.5976,3.5977,2000
ABI,20100118,3.7056,3.7056,3.7056,3.7056,0
ABI,20100119,3.4538,3.5977,3.4538,3.5977,530
ABI,20100120,3.7416,3.7416,3.2379,3.2379,1100
ABI,20100121,3.5257,3.5257,3.5257,3.5257,5000
ABI,20100122,3.5257,3.5257,3.5257,3.5257,0
ABI,20100125,3.2019,3.2019,3.2019,3.2019,20
ABI,20100126,3.4897,3.4897,3.4178,3.4178,3080
ABI,20100127,3.4178,3.4178,3.4178,3.4178,100
ABI,20100128,3.5977,3.5977,3.4178,3.4178,1200
ABI,20100129,3.7776,3.7776,3.5617,3.5617,30
ABI,20100201,3.9934,3.9934,3.4178,3.4178,1010
ABI,20100202,3.7416,3.7416,3.4178,3.4178,17020
ABI,20100203,3.0940,3.0940,3.0940,3.0940,3000
ABI,20100204,3.3818,3.3818,3.3099,3.3099,30
ABI,20100205,3.0221,3.0581,3.0220,3.0220,4600
ABI,20100208,3.0220,3.0220,3.0220,3.0220,0
ABI,20100209,3.3098,3.3099,3.3098,3.3099,10
ABI,20100210,3.3459,3.3459,3.2739,3.2739,30
ABI,20100211,3.6337,3.6337,3.6336,3.6336,10
ABI,20100212,3.9934,3.9934,3.9934,3.9934,10
ABI,20100222,3.8855,4.3891,3.7775,3.7775,1080
ABI,20100223,4.2452,4.2452,3.5976,3.5977,410
ABI,20100224,3.9575,3.9575,3.2379,3.2379,10
ABI,20100225,3.5617,3.5617,3.5617,3.5617,10
ABI,20100226,3.8855,3.8855,3.2379,3.2379,710
ABI,20100301,3.5977,3.5977,2.9501,2.9501,1210
ABI,20100302,3.2379,3.2379,3.2379,3.2379,10
ABI,20100303,3.5617,3.5617,3.4178,3.4178,1010
ABI,20100304,3.7416,3.7416,3.0940,3.0940,90
ABI,20100305,3.6696,3.6696,3.4897,3.4897,20
ABI,20100308,3.5976,3.5977,3.5976,3.5977,10
ABI,20100309,3.9215,3.9215,3.2379,3.2379,2240
ABI,20100310,3.5617,3.5617,3.5617,3.5617,100
ABI,20100311,3.8855,3.8855,3.8855,3.8855,50
ABI,20100312,4.2453,4.2453,3.5257,3.5257,990
ABI,20100315,3.9574,3.9574,3.2379,3.2379,2750
ABI,20100316,3.5617,3.5617,2.9141,3.3818,3070
ABI,20100317,3.6696,3.6696,3.2379,3.3099,390
ABI,20100318,3.5977,3.5977,2.9501,2.9501,30
ABI,20100319,3.4538,3.4538,3.4538,3.4538,10
ABI,20100322,3.7776,3.7776,3.1300,3.4897,160
ABI,20100323,3.8135,3.8135,3.1659,3.1659,30
ABI,20100324,3.0580,3.7055,3.0580,3.0580,4080
ABI,20100325,3.3818,3.3818,3.2379,3.2379,8010
ABI,20100326,3.3818,3.3818,2.9141,2.9141,30
ABI,20100329,3.3458,3.3458,3.3458,3.3458,25
ABI,20100330,3.6696,3.6696,3.0220,3.0220,2800
ABI,20100331,3.3458,3.3458,3.3458,3.3458,10
ABI,20100401,3.6696,3.6696,3.0220,3.0580,2500
