<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20120201,4.5657,4.6118,4.4734,4.5657,8100
PTI,20120202,4.6118,4.6118,4.4735,4.6118,30000
PTI,20120203,4.6118,4.6579,4.5196,4.5657,51100
PTI,20120206,4.6118,4.6118,4.4735,4.6118,14700
PTI,20120207,4.4734,4.5657,4.4734,4.5657,18900
PTI,20120208,4.5657,4.5657,4.5195,4.5195,3400
PTI,20120209,4.6117,4.6117,4.4273,4.5657,4600
PTI,20120210,4.5657,4.5657,4.4273,4.5195,14100
PTI,20120213,4.4734,4.4734,4.3811,4.4734,3700
PTI,20120214,4.5195,4.5195,4.4734,4.5195,7200
PTI,20120215,4.5656,4.5656,4.5195,4.5195,4800
PTI,20120216,4.5195,4.5195,4.4734,4.5195,5800
PTI,20120217,4.5195,4.5195,4.4273,4.4734,5500
PTI,20120220,4.5656,4.5656,4.3812,4.4734,10600
PTI,20120221,4.5656,4.5656,4.3812,4.4273,10600
PTI,20120222,4.4734,4.5195,4.4273,4.4734,18700
PTI,20120223,4.4273,4.4734,4.4273,4.4734,22700
PTI,20120224,4.4734,4.5195,4.3812,4.4734,30400
PTI,20120227,4.5195,4.5195,4.4273,4.4734,12300
PTI,20120228,4.6118,4.6118,4.6118,4.6118,100
PTI,20120229,4.6118,4.6118,4.6118,4.6118,0
PTI,20120301,4.6118,4.6118,4.6118,4.6118,0
PTI,20120302,4.6579,4.6579,4.5195,4.5195,1200
PTI,20120305,4.5195,4.7040,4.4273,4.6579,64000
PTI,20120306,4.9346,4.9346,4.6118,4.7963,54000
PTI,20120307,4.9808,4.9808,4.5196,4.7501,49100
PTI,20120308,4.7040,4.7040,4.4273,4.5195,63400
PTI,20120309,4.7040,4.7040,4.5195,4.6118,53300
PTI,20120312,4.7040,4.7040,4.5657,4.5657,34500
PTI,20120313,4.6118,4.6579,4.4273,4.4273,20600
PTI,20120314,4.6118,4.6579,4.4273,4.4273,18900
PTI,20120315,4.5657,4.5657,4.3351,4.5195,31700
PTI,20120316,4.5656,4.6117,4.3350,4.4273,34400
PTI,20120319,4.4734,4.5195,4.3812,4.4734,41300
PTI,20120320,4.5195,4.5195,4.4734,4.4734,62700
PTI,20120321,4.5656,4.5656,4.4273,4.5195,89700
PTI,20120322,4.6117,4.6117,4.4734,4.5195,55500
PTI,20120323,4.7040,4.7040,4.5656,4.6579,116600
PTI,20120326,4.7963,4.7963,4.5657,4.7040,107400
PTI,20120327,4.7501,4.7501,4.4273,4.5195,68100
PTI,20120328,4.5656,4.5657,4.4273,4.5657,55800
PTI,20120329,4.5657,4.5657,4.4273,4.4734,53700
PTI,20120330,4.4273,4.4273,4.3350,4.3812,51600
PTI,20120403,4.4734,4.4734,4.1506,4.3812,52000
PTI,20120404,4.4273,4.4273,4.1967,4.1967,56800
PTI,20120405,4.1967,4.3351,4.1506,4.2890,50300
PTI,20120406,4.3812,4.4274,4.3351,4.3812,60900
PTI,20120409,4.5196,4.5657,4.4273,4.5195,59200
PTI,20120410,4.5656,4.6117,4.3811,4.4734,52100
PTI,20120411,4.5656,4.5657,4.4273,4.5657,52200
PTI,20120412,4.5657,4.6118,4.5657,4.5657,68900
PTI,20120413,4.5657,4.6118,4.4273,4.5195,62000
PTI,20120416,4.5195,4.6579,4.5195,4.6118,71100
PTI,20120417,4.6579,4.9346,4.6118,4.8424,78100
PTI,20120418,4.8424,5.1652,4.8424,5.1652,99800
PTI,20120419,5.3036,5.4880,5.2113,5.3036,68600
PTI,20120420,5.1652,5.1652,4.9347,5.1652,66200
PTI,20120423,5.1191,5.1191,5.0268,5.0268,35400
PTI,20120424,4.8884,5.1652,4.8884,5.0730,57900
PTI,20120425,4.9808,5.2575,4.9808,5.1652,65600
PTI,20120426,5.0730,5.1652,5.0730,5.1191,54700
PTI,20120427,4.9346,5.1652,4.9346,5.1652,56700
PTI,20120502,5.1191,5.2113,5.0730,5.2113,43300
PTI,20120503,5.1191,5.3958,5.1191,5.3958,55600
PTI,20120504,5.4419,5.6264,5.3958,5.5803,50200
PTI,20120507,5.5803,5.9492,5.4881,5.9492,67900
PTI,20120508,5.5341,5.9953,5.5341,5.8108,138500
PTI,20120509,5.8569,5.9492,5.7647,5.9492,54300
PTI,20120510,5.7647,5.8570,5.7647,5.7647,44200
PTI,20120511,5.7647,5.8108,5.5341,5.8108,32900
PTI,20120514,5.7647,5.8570,5.7647,5.8570,59000
PTI,20120515,5.7648,5.8570,5.5803,5.5803,47200
PTI,20120516,5.5803,5.8109,5.5803,5.5803,31600
PTI,20120517,5.5803,5.8109,5.3497,5.3497,55800
PTI,20120518,5.6725,5.7648,5.5341,5.5341,54700
PTI,20120521,5.5341,5.8108,5.5341,5.8108,14200
PTI,20120522,5.9030,5.9030,5.5341,5.8570,300
PTI,20120523,5.3958,5.5342,5.3497,5.3958,5800
PTI,20120524,5.1652,5.5342,5.1652,5.2113,4700
PTI,20120525,5.5341,5.5341,4.8885,4.8885,23200
PTI,20120528,5.0730,5.3958,4.9807,5.0730,41000
PTI,20120529,5.4419,5.4419,5.2574,5.2574,35800
PTI,20120530,5.2574,5.5341,5.0729,5.5341,5100
PTI,20120531,5.2574,5.4880,5.2113,5.4880,49700
PTI,20120601,5.6725,5.7186,5.3958,5.3958,11000
PTI,20120604,5.8109,5.8109,5.5342,5.7647,25500
PTI,20120605,5.7647,5.7647,5.7647,5.7647,10000
PTI,20120606,5.5341,5.7647,5.4880,5.7647,13700
PTI,20120607,5.7647,5.9953,5.7647,5.7647,22800
PTI,20120608,5.8108,5.8108,5.7647,5.7647,8700
PTI,20120611,5.5341,5.7186,5.5341,5.5803,2600
PTI,20120612,5.7648,5.9492,5.7648,5.9492,218900
PTI,20120613,6.1798,6.1798,5.9492,5.9953,52400
PTI,20120614,5.9492,6.0414,5.9031,5.9492,13100
PTI,20120615,5.9953,6.0414,5.9492,5.9953,88300
